filename,width,height,class,xmin,ymin,xmax,ymax
youtube-80_jpg.rf.0VxS8yUiI1A1cHRqPGNN.jpg,1920,1080,Rock,1160,70,1602,439
youtube-80_jpg.rf.0VxS8yUiI1A1cHRqPGNN.jpg,1920,1080,Rock,210,0,640,299
egohands-public-1620850569584_png_jpg.rf.1Blbx4X50kWgbCYNa2Qm.jpg,416,416,Rock,185,243,276,327
0178_png.rf.H5cIasrlVnalKt3259Z8.png,1280,720,Rock,792,467,898,601
0178_png.rf.H5cIasrlVnalKt3259Z8.png,1280,720,Scissors,543,515,771,648
IMG_7043_MOV-183_jpg.rf.tmBsOh4yeXbO1zNR5EGR.jpg,1080,1920,Rock,530,1247,983,1758





IMG_5636_MOV-65_jpg.rf.2Jmoj4a610L4wJrRC9dt.jpg,1080,1920,Paper,220,1167,673,1557
JWitt-RCP_mp4-82_jpg.rf.AH1XKJHSAQj5PaI0D5OJ.jpg,720,1280,Paper,296,284,631,574
youtube-122_jpg.rf.KD4T4E6cZKGDZQod4WLu.jpg,1920,1080,Scissors,98,330,796,604
youtube-122_jpg.rf.KD4T4E6cZKGDZQod4WLu.jpg,1920,1080,Scissors,940,195,1674,519

egohands-public-1620914960773_png_jpg.rf.HIif23qw8geTdiMP6fHA.jpg,640,480,Rock,86,140,217,239
egohands-public-1620849849796_png_jpg.rf.GyIGjTPkr347ug33kTKG.jpg,640,480,Rock,88,286,263,452
Photo on 2-16-22 at 10-20 AM_jpg.rf.2PkhtXpbwM1FwFX5CYk1.jpg,2542,1694,Scissors,245,273,1840,1093



egohands-public-1624550308412_png_jpg.rf.cmVk3UpxYzLKnbwLsvRy.jpg,640,480,Scissors,17,100,339,262
egohands-public-1626442352881_png_jpg.rf.7oTRr2hNA58AWLPg9FMC.jpg,640,480,Scissors,27,257,389,476
egohands-public-1627056101745_png_jpg.rf.uERov2p4OpVjnXYwvDrc.jpg,640,480,Scissors,184,241,408,408
IMG_5636_MOV-10_jpg.rf.KQ8oxXjrwLqGMHnsOodd.jpg,1080,1920,Scissors,173,983,514,1409

youtube-5_jpg.rf.AfnPWYFA58hUE4VjcXGl.jpg,1920,1080,Rock,35,45,501,527
